GEOGRAPHY,Total Vacnt Homes,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",For migrant workers,Other vacant
CAMP WASHINGTON,195,28,0,11,0,0,0,156
SOUTH CUMMINSVILLE,141,8,0,0,0,0,0,134
LOWER PRICE HILL,109,37,1,0,2,0,0,70
ENGLISH WOODS,14,11,1,0,0,0,0,2
MILLVALE,115,23,0,0,0,0,0,92
NORTH FAIRMOUNT,147,4,13,26,0,0,0,104
EAST WESTWOOD - WESTWOOD,0,0,0,0,0,0,0,0
EAST WESTWOOD,239,110,1,2,0,0,0,126
CLIFTON - SPRING GROVE VILLAGE,8,3,3,0,2,0,0,1
RIVERSIDE - SEDAMSVILLE,16,6,0,0,1,0,0,9
RIVERSIDE - SAYLER PARK,1,1,0,0,0,0,0,1
SAYLER PARK,85,32,0,16,0,0,0,38
MOUNT AUBURN - WALNUT HILLS,17,4,0,0,0,0,0,13
WALNUT HILLS,904,193,4,33,1,14,0,660
NORTH AVONDALE,193,54,20,40,0,8,0,71
AVONDALE,950,39,2,0,12,13,0,884
CUF - HEIGHTS,146,14,17,0,0,10,0,105
WEST END,844,154,0,0,16,58,0,616
QUEENSGATE,82,1,0,0,1,0,0,80
KENNEDY HEIGHTS,215,50,0,0,0,0,0,164
CALIFORNIA,63,18,0,16,0,9,0,20
PLEASANT RIDGE,385,48,27,0,71,15,0,223
EAST WALNUT HILLS,403,37,44,26,32,35,0,229
PADDOCK HILLS,259,58,56,50,0,0,0,95
HARTWELL,591,416,37,0,0,0,0,138
CARTHAGE,118,1,0,0,23,0,0,94
CORRYVILLE,235,78,19,0,0,0,0,139
ROSELAWN,319,161,0,0,19,2,0,137
BOND HILL,410,64,25,42,19,0,0,260
NORTHSIDE -SOUTH CUMMINSVILLE,16,0,0,0,0,0,0,16
COLLEGE HILL - WINTON HILLS,4,1,1,1,0,0,0,2
COLLEGE HILL - SPRING GROVE,3,0,0,3,0,0,0,0
COLLEGE HILL,491,161,28,22,0,2,0,277
VILLAGES AT ROLL HILL,20,8,0,0,0,0,0,12
SOUTH FAIRMOUNT,431,70,9,14,3,0,0,337
EAST PRICE HILL,1363,308,37,27,9,0,0,982
MOUNT AIRY - WESTWOOD,22,8,0,0,0,2,0,12
MOUNT AIRY,808,360,0,42,0,25,0,381
WEST PRICE HILL,1062,318,3,43,32,55,0,611
MOUNT ADAMS,61,31,0,0,0,0,0,30
AVONDALE - NORTH AVONDALE,416,61,6,0,0,61,0,289
DOWNTOWN - PENDLETON,44,11,0,0,0,0,0,33
SPRING GROVE - WINTON HILLS,38,2,10,8,4,9,0,5
SPRING GROVE - WINTON HILLS,38,2,10,8,4,9,0,5
WINTON HILLS,94,36,17,0,2,5,0,34
SPRING GROVE VILLAGE,127,46,11,0,1,8,0,60
